GENOTYPE,Gaillac.2012.OPT,Karlsruhe.2012.WD,Karlsruhe.2012.OPT,Debrecen.2012.OPT,Debrecen.2012.WD,Debrecen.2013.WD,Martonvasar.2013.OPT,Martonvasar.2013.WD,Karlsruhe.2013.WD,Karlsruhe.2013.OPT,Gaillac.2013.WD,Murony.2013.OPT,Murony.2013.WD,Gaillac.2013.OPT,Nerac.2013.WD,Craiova.2012.OPT,Campagnola.2013.OPT,Campagnola.2013.WD,Nerac.2013.OPT,Nerac.2012.WD,Nerac.2012.OPT,Craiova.2012.WD,Campagnola.2012.OPT,Campagnola.2012.WD,Graneros.2013.WD
EP72,105.4154788,75.91429416,81.48046998,42.87135563,30.20909213,50.04743677,79.65122134,45.41003206,80.13925193,44.14352054,55.73061357,33.20675708,34.21446388,83.22183413,28.39009369,37.40510945,47.18256202,26.98631244,59.9155484,36.15573844,79.39068541,7.03510478,25.73166757,15.99460442,48.64125485
EP77,102.9416915,90.01519618,71.8485351,54.09553581,39.18635508,33.71661785,73.16530772,46.04642465,76.1132865,52.65773661,55.38826061,69.16060125,43.58478925,82.36922993,17.00855008,38.82232551,58.29449927,25.51810973,65.41811967,29.64541302,79.96634235,4.14355959,26.6860105,12.33837635,38.94369585
EZ11A,108.5852073,114.4790695,98.83956296,72.56529165,60.69700734,63.54329346,116.0569357,79.12943069,103.4801769,84.59404003,87.51768685,92.33246925,84.04278688,115.3078977,42.32468351,52.04682762,52.83436391,42.62327393,79.40485901,41.64948352,82.06476111,27.58520896,60.83299381,25.85620188,62.99618503
EZ18,120.5525984,112.2589656,94.19379531,58.1146769,58.67388808,62.03464798,83.81370437,75.19774675,90.28005063,77.59852555,71.30098991,81.96822287,70.95840906,107.4283806,32.82566359,57.30143855,63.215646,44.14859573,72.15932629,34.15205749,85.61236347,21.03745024,49.7540023,23.86758335,68.14360512
EZ31,114.1174883,108.4883445,106.5533624,63.89497018,47.47731065,61.39921589,100.832076,71.23290064,89.62882315,88.81010109,76.11116538,77.80589981,74.66122663,101.5258016,26.31613603,33.34415379,44.48397573,30.16040527,76.14855763,42.15155027,85.29283375,6.90334262,24.78322054,7.01262044,70.59515806
EZ34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EZ35,116.9040563,90.36734719,98.15336942,69.95262355,51.51132889,55.31659523,101.7644001,79.5134989,102.6157605,79.22245936,83.821857,88.38315637,79.00557525,88.46193267,41.59559337,36.90675875,52.75376734,39.47640072,79.2451163,32.92709989,71.71359277,9.44944069,36.57944554,17.63352616,73.82371337
EZ36,117.5818685,100.1238051,89.57619734,64.48079787,55.18727382,52.12702474,108.8276775,73.0209876,110.094418,86.51779296,77.50711331,80.49398362,62.2206251,113.3120099,55.07988995,54.69538909,58.61706251,49.30346603,83.30157273,50.33098866,82.75219684,30.27556399,56.02748759,32.1556282,70.08099088
EZ37,118.9402879,112.0912224,109.1437663,60.97188161,50.96467166,59.03871911,111.1588244,72.04654118,86.78472405,74.56033727,73.5445962,74.32483319,66.560325,107.573429,42.53923002,46.50198347,63.02591181,42.69877568,77.43360888,52.0747058,85.47108983,10.46270928,54.94585311,16.55047679,54.94519875
EZ38,124.8278127,103.4484335,97.44250715,56.24038498,52.57488705,65.61929507,81.58824617,76.15214749,109.4513246,86.25356955,84.38790869,70.0800649,69.66788529,117.0948591,40.8224944,42.45136442,53.99533769,39.37087322,88.11199126,55.81790186,72.46940135,8.79875362,47.00613976,31.54217042,71.98090381
EZ40,107.8265812,103.8210117,95.91667897,70.21879443,52.32160499,69.11857596,134.6294761,105.8390242,99.50739176,80.40305367,88.86736543,64.52729082,67.29172779,118.1686594,60.94065058,45.27761084,52.33077855,44.51905167,98.9976071,51.55689865,93.52828649,13.28582857,55.78340982,29.74295859,64.27396838
EZ42,120.39301,118.5008532,95.10803208,68.58451151,56.44229347,74.48073664,128.512655,78.74082967,109.9954775,92.48819222,81.27366231,62.5406331,65.1303253,108.0894379,50.72464216,52.03106603,48.82888806,37.54073839,74.67365698,50.59279962,94.47640698,14.99157562,46.56686848,26.76013082,72.51197542
EZ47,98.04412142,96.54189622,94.73616295,39.83116856,39.8296522,57.49418391,118.8863602,77.37514749,86.49697662,75.10867551,73.58670463,77.09322152,72.94782475,107.1105691,46.07843849,32.98090479,63.74464198,31.99403687,75.51613442,30.03080129,70.81553508,4.5008706,23.28299359,9.24170318,68.02273548
EZ48,131.0766572,125.804968,113.6738358,70.87842231,52.82823548,58.79686854,120.6997397,78.93979421,97.47174738,78.623495,84.32205843,79.25854534,80.45893926,110.3921991,38.94222575,47.39825227,57.73823042,38.4266267,82.15280674,42.56990118,92.23983104,12.0837377,52.84005074,21.43174164,67.15738635
F04401,107.0506127,90.23847919,103.6151055,72.53063827,58.38349783,55.88627405,117.5027256,89.68469576,91.44885514,75.98169304,77.23951468,87.31528553,74.81954927,103.0608637,45.18259114,44.38584573,56.07388607,44.70168348,71.78584131,59.18797159,88.79147822,14.79075597,59.05163174,29.23597727,80.01126845
F04402,110.1539264,100.8610992,105.7374847,54.2211396,54.573765,64.38390412,119.9015517,94.05599836,96.94669803,81.85816745,76.92132802,89.78524719,81.40314407,103.7793813,43.39009821,51.93617941,46.83051881,23.33552792,71.55868918,56.96210047,84.8074495,7.48352679,50.24910974,23.95294769,83.26506797
F04701,128.5929759,115.3659057,99.47743662,71.91541189,61.0521489,66.11928748,89.98958325,74.80365175,109.5318002,82.81463516,84.18417997,75.19251513,81.81848395,108.3627328,38.15247948,33.00836252,62.57167446,28.64975501,82.93507369,46.49000033,97.80513268,11.95989436,30.80632389,6.58437883,69.82957719
F04702,125.988644,117.1789373,92.40231269,56.66142969,47.97830705,67.68877926,100.0225215,87.83428275,108.8125356,71.6246831,77.66072214,52.94738835,58.51684584,104.6448294,34.06485598,26.03208748,53.4743404,34.22402594,71.88491103,41.802236,104.5117268,6.9870995,24.23431965,5.39504803,69.78429319
F05101,117.8871627,115.9701347,110.5104607,61.25304321,57.26570639,58.95238811,118.9343375,75.48547772,113.2387105,95.52318878,76.48412026,86.17553013,84.37293072,101.585145,42.18876519,27.80535699,54.88332111,39.12598627,78.41864161,57.05259289,96.22913582,9.17669914,60.83573165,16.28871723,71.34010306
F05404,121.7390315,114.7485718,104.6877414,74.87082425,71.49434785,57.79346852,140.8761446,106.7301827,112.4664854,105.8716307,81.21762624,87.05411728,77.8323976,117.5502233,49.62177084,49.5024425,48.60648392,37.94984117,91.56216818,63.74471655,92.79902942,12.96823133,49.63704317,16.09478311,74.44965118
F1808,116.4024819,109.7846452,97.00302506,74.1925221,57.17503756,69.90793302,118.7299281,92.7227762,104.6178112,74.01281788,80.57435936,76.81532286,66.63133739,104.5914488,43.66013701,48.19024589,54.38811464,31.61896944,75.05253611,50.78827166,99.2130485,9.64712325,47.20400228,16.66581637,65.52507781
F1890,118.1655177,102.6233752,101.9381034,64.55045017,63.73155848,72.33807718,125.0234068,114.899122,100.6417589,77.26884097,86.22541002,82.38579019,76.30665475,112.8237688,48.27541986,46.07151636,53.16276477,43.54337563,81.44887667,63.65197124,101.7769582,16.36559694,54.37850987,22.64296979,78.9093155
F218,98.97343576,86.40599654,101.7226171,57.98089289,54.4857935,47.3923492,95.9686878,61.3121721,68.71297098,56.59389256,65.69666892,42.96556507,43.81905729,81.72974742,35.47386849,44.35446745,55.63389245,33.87855934,63.82877901,52.56684485,79.44559786,18.94695217,24.05605235,13.29537443,65.92113897
F252,77.47393048,68.71952786,57.89483402,52.5376864,31.53095873,36.23016886,69.36319914,49.14064977,59.83161526,47.71713959,59.1875523,43.72567533,40.98694712,72.3666755,24.51768735,22.81137333,45.33506235,28.26046468,48.21364776,38.81779856,64.46289206,9.12732305,26.19601223,11.08822951,60.50253356
F353,103.5050324,94.12468002,103.1902359,55.93959418,43.86503773,45.38378431,109.8197731,76.61244598,89.79940223,66.39528309,66.57537542,66.85875294,59.57946548,90.33183482,39.5252817,36.72621942,44.24332004,33.87570155,69.30684705,46.43397161,85.67374451,20.892894,49.88931423,28.73877364,70.11252555
F354,101.09621,72.76230744,65.02598323,67.13034029,53.16825306,43.02055029,90.53947044,82.36809718,78.72751857,71.69104886,77.80174212,61.24178677,53.35172451,85.41505036,49.67014563,46.83910567,54.1399732,35.41395434,72.08297741,50.68611534,81.42256658,13.81824412,38.87374122,20.53555877,66.97884266
F608,99.95612955,100.2962867,92.2449383,47.92719942,41.126421,49.12492907,92.81573763,70.85068164,105.1249738,85.59981302,70.53988968,75.38152482,73.98152214,82.11683579,24.39425532,50.53646585,56.36216601,27.81443374,69.73655523,47.21717595,87.09723558,17.78477034,24.39126526,9.14062513,71.45528646
F618,117.2647975,113.3526357,113.2697252,69.78234813,55.43389401,62.59937362,115.6827619,82.08253023,93.91233642,83.03706217,83.81959279,76.08251692,67.62194082,103.0703744,41.81226498,48.1718461,54.51254161,37.37888294,77.98793267,48.53362519,98.39479121,12.17145946,57.65432419,24.58331828,75.79098218
F7001,99.63127327,99.8229933,103.5611765,62.00365527,48.84148387,42.83509937,97.0152116,70.26381158,99.36247338,61.91507328,74.16443457,61.39888463,59.76093659,104.6513409,42.70683282,45.23026374,56.67393584,41.35922395,68.84232797,42.42252793,83.21521651,15.02806195,55.49491302,14.79786279,59.61031642
F7019,109.8916991,107.6883428,94.62314198,58.74698471,44.1203866,52.69516792,89.93936569,56.28201668,83.02388992,52.95120042,76.73637022,72.83563962,57.72511795,100.0219673,37.41401346,51.37719731,54.54489328,30.92087148,73.65774401,50.8966814,91.43326267,14.91686946,44.09055155,20.22211131,78.41719015
F7025,101.7399807,92.23658888,97.96657777,61.52935194,52.5596201,48.48383022,100.2524031,83.36070686,83.17644157,76.43240691,67.34032885,63.79010044,70.46128523,101.5643059,24.99017688,32.01744547,46.35034615,24.98338669,66.8472738,30.93023383,81.31992544,19.43906529,38.0219172,15.80333919,63.63462755
F7028,102.2856492,90.26850032,97.05846966,56.77925924,52.26110599,49.79734763,102.8517595,79.56191833,86.39334388,64.78597106,76.33437693,73.30946011,66.55575605,91.34785924,23.90486512,45.48742242,62.91103788,40.51197314,83.67001763,33.52943037,81.61678948,17.27686399,59.81602045,33.03957716,62.99178513
F7057,103.1857257,85.46063007,88.21924054,59.29462767,42.33183207,56.41634868,107.4431403,78.68701732,86.70109958,81.38205934,68.76665741,79.05769171,62.23537206,89.61062197,34.07860863,38.40352424,54.26791909,35.1102497,71.82696201,41.83716748,83.09103545,11.2317934,40.77279919,16.78593685,66.77156331
F7058,106.439949,85.61463322,92.73624076,58.54755984,47.07160666,64.75741668,98.85812343,74.93000696,80.63142508,74.03595797,63.2069418,55.17719889,59.31753861,82.31485651,22.72192061,39.05083253,45.49364709,25.69544241,72.2754075,37.11659533,74.65163236,17.06578403,44.70445482,24.48548363,60.25076323
F7081,129.4592533,103.1239228,91.90059778,61.19478307,58.40317818,55.1476506,111.9469109,55.60792544,82.65419592,53.65839979,75.39876763,64.26921511,64.38132867,97.7699117,35.82479101,43.12616301,50.35566335,33.6823059,68.44279563,43.73031469,96.96446281,20.81829782,55.68867846,29.20741267,68.57151103
F7082,92.92288241,90.41512698,88.67574748,62.67939266,53.08478653,57.58760573,125.3889241,70.82946959,84.87899025,49.84702593,66.42886468,67.73978406,50.06613227,98.18110712,40.23569257,45.3470324,49.02912676,30.94917037,70.32982922,38.92500138,82.09162269,11.72607433,57.22154176,25.1546353,71.78183343
F712,112.3892488,109.1858685,95.31803539,58.56716277,53.65527406,42.85390005,86.48041031,71.65395317,104.2200522,77.85252096,75.17356373,71.10822798,66.07630877,97.80192555,43.10437836,37.48766301,42.69650155,37.04438236,68.16070848,43.22582556,90.80726588,22.14126609,59.00697783,32.82462631,75.64135607
F748,119.6303577,101.6314564,83.15827519,58.8729383,46.78669726,52.28757864,109.7538768,72.65605884,98.01309334,87.88471047,76.34878513,84.67465041,73.75231817,105.3057111,39.21466098,39.17112961,50.53959934,29.8184849,83.00840837,42.13910866,92.80585065,9.93354074,39.80660241,16.67352237,75.21584823
F752,115.1405364,108.1792482,89.5710405,65.03411102,46.87804954,50.21997498,107.6941968,84.39648333,102.0328414,83.84632475,89.6297715,80.24078751,78.56853347,126.0535144,43.2795358,47.6717497,44.13933314,30.8294598,96.04062683,41.55862136,95.61374203,15.81164195,30.44852429,10.93783416,67.27219869
F838,105.7572198,97.70440066,97.75197689,58.52311546,54.37566993,60.56730387,107.5119236,74.1682836,95.28322349,82.87333312,85.9994071,84.21092616,70.91382494,106.6195432,36.65809356,50.31822522,54.37616419,44.08266005,85.20860128,44.22450682,82.42190621,23.03557958,54.0310627,26.53364847,71.87085471
F874,81.81944041,87.23091463,82.82705561,42.64686862,45.78539707,51.65163936,82.08825396,60.52857528,79.39677487,69.89589853,57.51708759,61.06854185,55.27137232,66.1414313,31.04758564,30.03733851,48.64372862,32.96686956,52.33003745,48.01625101,67.97080495,9.80283336,27.18571303,11.23788339,58.60561052
F888,80.66443514,102.9902017,96.51362561,58.13938688,45.70294946,42.79966816,96.5543453,80.06402301,90.85049773,75.48312483,66.23264048,72.8204474,71.35313715,87.68295707,28.90362309,27.73060397,45.64717279,26.23497036,82.83793505,31.10593417,73.22455871,4.80018605,22.24706635,5.33288603,60.80652806
F894,111.6457778,111.9904368,108.0435083,63.0659142,50.4500843,63.16099168,104.4798536,73.99146635,98.6372439,87.10210032,73.03301211,85.51796784,85.55258111,103.5652885,40.28940232,41.13607253,55.39974592,47.67842803,73.01959243,42.85458694,90.45558672,15.48592323,55.55915812,17.32129459,72.09251148
F908,101.719253,88.37453812,82.63460457,52.76925886,52.07293535,49.83155406,105.2474593,64.97864927,82.16347605,55.39516262,61.18620094,71.81286291,66.66317182,81.93641084,16.15899882,22.14189724,47.44246282,28.37026396,68.35612914,32.11761144,70.32782033,2.98340801,32.6822742,12.94774523,59.17104478
F912,110.2897016,107.5273061,103.114648,67.017126,49.16170183,69.86109044,104.1086238,89.81454071,100.0929053,80.29793364,72.73630264,80.70667469,68.38073747,93.68782207,42.79729358,36.21238785,57.15387633,33.06269259,85.26819768,47.98995839,92.37245677,18.20186893,25.59967744,14.85176972,76.52858723
F918,116.9125909,113.0853793,109.3486349,68.15052136,49.17995145,65.05893177,112.1331594,71.45219175,88.63401838,86.85005077,88.68137622,73.95615657,68.98956224,110.6178477,37.30926067,41.83320442,51.63611789,35.47707733,83.61344541,47.93290946,84.90334952,19.01764977,61.12595526,33.807878,72.612583
F922,108.7793728,98.42459676,109.7158486,61.00975815,53.65197375,63.19170018,118.6079509,81.31745384,85.80235486,62.71798804,79.52961727,67.90456103,63.017993,104.6034837,42.01131244,49.30324061,61.36615433,44.15970817,78.45184777,46.4188757,85.78776191,18.73871596,47.08492717,24.32415979,74.90788153
F924,130.775854,100.8337077,89.00162821,72.78809292,59.48689265,62.33305961,127.2256882,89.74110408,109.8693692,87.54866666,78.15401323,87.93356368,73.60610587,115.3077599,41.12520195,48.80529191,57.72816339,47.34933149,95.6644474,53.9661766,114.4714816,24.03874588,59.75990418,24.7248271,80.1540513
F98902,117.8026376,114.9958426,103.6879782,67.37933233,57.26816906,59.86153537,128.7458628,91.07488829,95.5472208,80.00697374,74.12499316,75.61982613,67.09772711,114.1789479,38.12811599,35.82107362,52.74387304,36.60570865,84.32079786,65.99266892,94.27686331,10.845974,25.69056731,9.57370805,70.99698435
FP1,109.493982,86.57274663,97.91003095,59.87713486,43.83675771,53.99191475,85.36008843,61.94176685,83.82808841,76.19625243,61.4785767,66.3399121,59.212796,89.62017403,19.6991805,43.84545542,47.29900322,30.03182381,85.1101504,34.47451863,82.87116072,19.27209455,36.00556629,20.25111515,53.55826397
FR19,113.9067202,94.91250879,68.10770579,66.276737,56.25951413,40.81836548,100.6234016,57.15987723,96.33619746,66.54430732,71.86555268,37.00995818,37.91035838,105.4234213,34.08655779,32.35201575,70.22143842,33.03581532,84.19627636,38.06941821,86.31349219,10.58117566,20.48444207,11.72520336,54.42882652
